"gender","ethnicity","birth","grade","star","read","math","lunch","school","degree","ladder","experience","tethnicity","system","schoolid","id"
"male","cauc",1980,"kindergarten","regular",430,473,"non-free","rural","master","level1",13,"cauc",14,38,"28"
"male","cauc",1980.5,"kindergarten","regular+aide",437,468,"non-free","rural","master","level1",6,"cauc",35,69,"29"
"female","afam",1980,"kindergarten","regular",NA,NA,"free","inner-city","bachelor",NA,9,"afam",11,28,"30"
"female","cauc",1979.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31"
"male","cauc",1980,"kindergarten","small",474,559,"non-free","suburban","bachelor","probation",0,"cauc",18,43,"32"
"male","cauc",1980,"kindergarten","small",424,494,"non-free","rural","bachelor","level1",6,"cauc",36,71,"33"
"male","cauc",1979.5,"kindergarten","regular+aide",490,528,"non-free","suburban","bachelor","level1",18,"cauc",22,52,"34"
"male","cauc",1980.5,"kindergarten","regular",439,484,"non-free","suburban","master","level1",13,"cauc",22,54,"35"
"female","cauc",1979.75,"kindergarten","regular+aide",424,459,"free","rural","bachelor","level1",12,"cauc",9,12,"36"
"female","afam",1980.5,"kindergarten","regular",437,528,"free","suburban","bachelor","apprentice",1,"afam",11,21,"37"
"female","cauc",1979,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38"
"female","cauc",1980.25,"kindergarten","small",422,478,"non-free","rural","master","level1",8,"cauc",40,76,"39"
"male","cauc",1979.75,"kindergarten","regular",424,559,"free","rural","bachelor","level1",13,"cauc",41,79,"40"
"male","cauc",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41"
"male","cauc",1980.25,"kindergarten","regular",NA,NA,"non-free","rural","bachelor",NA,5,"cauc",1,1,"42"
"female","cauc",1979.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43"
"male","cauc",1980.25,"kindergarten","regular",431,454,"non-free","rural","master","level1",13,"cauc",6,8,"44"
"male","afam",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45"
"female","afam",NA,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46"
"male","cauc",1980,"kindergarten","regular+aide",451,473,"non-free","rural","bachelor","level1",3,"cauc",32,66,"47"
"male","cauc",1980,"kindergarten","small",456,602,"free","urban","master","level1",14,"cauc",26,59,"48"
"male","cauc",1979.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49"
"female","cauc",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50"
"female","afam",1980.25,"kindergarten","regular+aide",421,459,"free","inner-city","bachelor","level1",11,"cauc",11,31,"51"
"male","afam",1980.25,"kindergarten","regular+aide",463,576,"free","inner-city","bachelor","level1",10,"afam",11,27,"52"
"female","afam",1980,"kindergarten","regular+aide",425,520,"non-free","suburban","bachelor","level1",8,"afam",11,17,"53"
"female","cauc",1979.75,"kindergarten","regular",522,559,"non-free","urban","bachelor","level1",8,"cauc",6,9,"54"
"female","cauc",1980.25,"kindergarten","regular+aide",413,459,"non-free","rural","master","level1",5,"cauc",15,39,"55"
"male","cauc",1980.5,"kindergarten","regular",416,513,"non-free","rural","master","level1",13,"cauc",23,55,"56"
"male","afam",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57"
"male","afam",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58"
"female","cauc",1979,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59"
"female","afam",1980.75,"kindergarten","regular",419,423,"free","inner-city","bachelor","probation",0,"afam",11,27,"60"
"female","cauc",1980.5,"kindergarten","regular+aide",431,494,"non-free","suburban","bachelor","level1",3,"cauc",25,58,"61"
"female","cauc",1978,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62"
"male","afam",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63"
"female","cauc",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64"
"male","cauc",1980.5,"kindergarten","small",418,439,"non-free","rural","bachelor","level1",8,"cauc",21,49,"65"
"female","afam",1980,"kindergarten","regular",422,434,"free","rural","master","level1",15,"cauc",5,7,"66"
"male","afam",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67"
"female","afam",1980,"kindergarten","small",414,434,"free","rural","bachelor","level1",8,"cauc",4,5,"68"
"male","afam",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69"
"male","cauc",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70"
"male","afam",1979.75,"kindergarten","regular+aide",433,454,"free","urban","bachelor",NA,11,"cauc",13,37,"71"
"male","cauc",1979,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72"
"female","afam",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73"
"female","afam",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74"
"male","afam",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75"
"female","cauc",1980,"kindergarten","regular",450,484,"non-free","rural","bachelor","level1",10,"cauc",35,70,"76"
"female","cauc",1980,"kindergarten","small",458,559,"free","rural","bachelor","level1",4,"cauc",16,40,"77"
"female","cauc",1980.25,"kindergarten","small",445,459,"non-free","urban","master","level1",7,"cauc",6,9,"78"
"female","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79"
"male","cauc",1980,"kindergarten","small",439,506,"non-free","urban","master","level1",17,"cauc",20,48,"80"
"male","cauc",1979.5,"kindergarten","small",476,576,"non-free","urban","master+","level1",12,"cauc",7,10,"81"
"male","afam",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82"
"female","cauc",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83"
"female","cauc",1980.75,"kindergarten","regular",467,484,"non-free","rural","master","level1",4,"cauc",42,80,"84"
"male","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85"
"male","cauc",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86"
"female","afam",1979.75,"kindergarten","regular+aide",416,434,"free","inner-city","master","level1",10,"afam",11,28,"87"
"male","cauc",1980.25,"kindergarten","small",480,528,"non-free","suburban","bachelor","probation",0,"cauc",18,43,"88"
"female","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"89"
"male","cauc",1979.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90"
"female","cauc",1980.5,"kindergarten","regular+aide",437,478,"non-free","suburban","bachelor","level1",16,"cauc",17,41,"91"
"male","afam",1978.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"92"
"male","cauc",1980,"kindergarten","small",465,602,"non-free","suburban","master","level1",18,"cauc",17,41,"93"
"male","cauc",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94"
"female","afam",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"95"
"male","afam",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96"
"female","cauc",1979.75,"kindergarten","small",407,439,"free","rural","bachelor","level1",4,"cauc",16,40,"97"
"female","afam",1980.25,"kindergarten","regular",487,547,"non-free","inner-city","bachelor","level1",12,"afam",11,27,"98"
"male","cauc",1980.25,"kindergarten","regular+aide",425,489,"non-free","suburban","master","level1",8,"cauc",28,61,"99"
"female","cauc",1980.25,"kindergarten","small",447,500,"non-free","suburban","master","level1",14,"afam",11,21,"100"
"male","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"female","cauc",1980.5,"kindergarten","small",430,468,"non-free","rural","master","level1",13,"cauc",6,8,"102"
"female","cauc",1980.25,"kindergarten","small",NA,444,"non-free","suburban","bachelor",NA,15,"cauc",18,43,"103"
"male","cauc",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"104"
"female","cauc",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"105"
"female","afam",1979.75,"kindergarten","small",NA,NA,"free","inner-city","bachelor",NA,2,"cauc",11,28,"106"
"male","cauc",1979.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"107"
"female","cauc",1980,"kindergarten","small",480,547,"non-free","suburban","master","level1",14,"afam",11,21,"108"
"female","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"109"
"female",NA,1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"110"
"female","hispanic",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"111"
"male","cauc",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112"
"female","cauc",1979.75,"kindergarten","regular",440,513,"non-free","rural","master","level1",5,"cauc",19,47,"113"
"female","cauc",1978,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114"
"female","afam",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"115"
"male","cauc",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"116"
"male","afam",1980.25,"kindergarten","regular+aide",410,405,"non-free","rural","bachelor","level1",13,"cauc",8,11,"117"
"male","afam",1979.5,"kindergarten","small",NA,288,"free","inner-city","bachelor","level1",3,"afam",11,22,"118"
"female","cauc",1980,"kindergarten","small",413,506,"non-free","rural","master","level1",5,"cauc",12,35,"119"
"female","afam",1980.5,"kindergarten","regular",422,513,"free","suburban","bachelor","apprentice",1,"afam",11,21,"120"
"female","afam",1980.5,"kindergarten","small",442,559,"non-free","suburban","bachelor","apprentice",5,"afam",11,24,"121"
"male","cauc",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"122"
"female","cauc",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"123"
"male","afam",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"124"
"female","afam",1980,"kindergarten","regular+aide",461,547,"free","inner-city","bachelor","level1",10,"afam",11,27,"125"
"male","afam",1980.5,"kindergarten","regular+aide",421,454,"free","inner-city","master","level1",22,"cauc",11,33,"126"
"male","cauc",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"127"
"female","cauc",1980.25,"kindergarten","small",NA,NA,"free","urban","bachelor","apprentice",1,"cauc",27,60,"128"
"male","afam",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"129"
"female","cauc",1979,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"130"
"male","cauc",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"131"
"male","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"132"
"female","afam",1980.25,"kindergarten","small",410,494,"free","inner-city","bachelor","apprentice",2,"cauc",11,19,"133"
"female","cauc",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"134"
"male","afam",1978.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"135"
"female","cauc",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"136"
"female","afam",1979.75,"kindergarten","small",465,626,"non-free","inner-city","bachelor","apprentice",2,"cauc",11,30,"137"
"male","cauc",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"138"
"male","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"139"
"female","cauc",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"140"
"male","afam",1980.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"141"
"female","afam",1978.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"142"
"male","cauc",1980.5,"kindergarten","regular",436,500,"non-free","rural","bachelor","level1",11,"cauc",21,49,"143"
"male","afam",1978.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"144"
"female","hispanic",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"145"
"male","cauc",1979.75,"kindergarten","regular+aide",398,449,"free","rural","master","level1",5,"cauc",15,39,"146"
"female","cauc",1979.75,"kindergarten","regular+aide",442,528,"non-free","suburban","master","level1",8,"cauc",28,61,"147"
"male","afam",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"148"
"male","cauc",1980.25,"kindergarten","regular+aide",461,500,"non-free","urban","bachelor","level1",11,"cauc",6,9,"149"
"female","cauc",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"150"
"male","cauc",1979.75,"kindergarten","regular",436,506,"free","rural","master","level1",13,"cauc",21,50,"151"
"female","cauc",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"152"
"female","cauc",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"153"
"male","cauc",1979.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"154"
"male","cauc",1979.75,"kindergarten","small",428,473,"non-free","suburban","bachelor",NA,5,"cauc",11,17,"155"
"female","cauc",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"156"
"male","afam",1979.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"157"
"male","afam",1979.75,"kindergarten","regular",411,444,"free","inner-city","bachelor","probation",0,"cauc",11,31,"158"
"male","cauc",1980.25,"kindergarten","regular+aide",436,459,"non-free","rural","master","level1",5,"cauc",15,39,"159"
"female","afam",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"160"
"male","afam",1979,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"161"
"male","afam",1980,"kindergarten","regular",NA,NA,"free","inner-city","master","probation",6,"cauc",11,33,"162"
"female","cauc",1980.25,"kindergarten","small",436,463,"non-free","suburban","master","level1",4,"cauc",18,46,"163"
"male","cauc",1980.5,"kindergarten","regular+aide",428,559,"non-free","rural","bachelor","level1",12,"cauc",9,12,"164"
"male","cauc",1980.5,"kindergarten","regular",472,536,"non-free","rural","bachelor",NA,5,"cauc",1,1,"165"
"male","afam",1980.25,"kindergarten","regular+aide",434,473,"free","inner-city","bachelor","level1",11,"cauc",18,45,"166"
"male","cauc",1979.75,"kindergarten","small",443,500,"non-free","rural","master+","level1",8,"cauc",41,78,"167"
"male","cauc",1980.25,"kindergarten","small",424,520,"free","rural","bachelor","level1",2,"cauc",15,39,"168"
"male","afam",1980.5,"kindergarten","regular+aide",418,473,"free","inner-city","master","level1",22,"cauc",11,33,"169"
"male","afam",1980,"kindergarten","regular",428,500,"free","inner-city","bachelor","level1",11,"cauc",11,22,"170"
"female","afam",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171"
"male","afam",1980,"kindergarten","small",440,468,"free","inner-city","bachelor","level1",14,"cauc",11,32,"172"
"male","cauc",1980.25,"kindergarten","regular+aide",436,513,"non-free","suburban","bachelor","level1",7,"cauc",4,4,"173"
"male","afam",1980.25,"kindergarten","small",433,506,"non-free","inner-city","master","level1",13,"afam",11,14,"174"
"male","cauc",1980.25,"kindergarten","regular+aide",448,473,"non-free","suburban","bachelor","level1",8,"afam",11,17,"175"
"male","afam",1980.5,"kindergarten","small",474,506,"free","suburban","bachelor",NA,3,"cauc",18,44,"176"
"female","afam",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"177"
"male","afam",1980,"kindergarten","regular",414,484,"free","rural","master","level1",15,"cauc",5,7,"178"
"male","afam",1979.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"179"
"female","cauc",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"180"
"male","cauc",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"181"
"male","afam",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"182"
"female","cauc",1980.5,"kindergarten","small",411,468,"non-free","rural","bachelor","level1",20,"cauc",36,71,"183"
"female","afam",1980.5,"kindergarten","small",422,468,"non-free","suburban","bachelor","level1",11,"afam",11,23,"184"
"female","cauc",1980,"kindergarten","small",395,412,"non-free","rural","bachelor","level1",20,"cauc",36,71,"185"
"female","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"186"
"female","afam",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"187"
"female","afam",1980.25,"kindergarten","regular",407,459,"free","suburban","bachelor","level1",6,"cauc",11,24,"188"
"female","cauc",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"189"
"female","cauc",1980.25,"kindergarten","regular",472,506,"non-free","rural","bachelor","level1",11,"cauc",31,64,"190"
"female","cauc",1980.25,"kindergarten","small",402,463,"free","urban","master","level1",12,"cauc",2,2,"191"
"female","cauc",1980.5,"kindergarten","regular",428,500,"non-free","rural","bachelor","level1",6,"cauc",36,71,"192"
"male","cauc",1980.5,"kindergarten","regular",413,463,"non-free","rural","master","level1",12,"cauc",6,8,"193"
"male","afam",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"194"
"female","cauc",1978.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"195"
"male","afam",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"196"
"male","cauc",1980.25,"kindergarten","regular",443,468,"free","suburban","bachelor",NA,18,"afam",11,25,"197"
"male","cauc",1978.25,"kindergarten","regular+aide",418,434,"free","urban","bachelor","level1",14,"cauc",6,9,"198"
"male","cauc",1980.5,"kindergarten","small",403,418,"free","rural","bachelor","level1",2,"cauc",37,73,"199"
"female","cauc",1980,"kindergarten","small",442,484,"free","suburban","bachelor","level1",11,"cauc",28,61,"200"
"female","afam",1980,"kindergarten","small",443,528,"free","inner-city","bachelor","apprentice",1,"afam",11,16,"201"
"female","cauc",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"202"
"female","cauc",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"203"
"male","afam",1980.25,"kindergarten","regular+aide",410,494,"non-free","urban","bachelor","level1",17,"cauc",2,2,"204"
"male","cauc",1978.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"205"
"female","afam",1980.25,"kindergarten","regular+aide",403,439,"free","inner-city","bachelor","probation",0,"cauc",11,19,"206"
"male","cauc",1980,"kindergarten","small",433,489,"free","urban","master","level1",17,"cauc",20,48,"207"
"male","afam",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"208"
"male","afam",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"209"
"male","cauc",1980,"kindergarten","regular",422,528,"non-free","rural","bachelor","probation",0,"cauc",33,67,"210"
"female","cauc",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"211"
"male","cauc",1979.75,"kindergarten","regular+aide",434,536,"non-free","rural","bachelor","level2",27,"cauc",35,70,"212"
"female","cauc",1980,"kindergarten","small",NA,NA,NA,"rural","bachelor","level1",12,NA,41,79,"213"
"male","cauc",1980.5,"kindergarten","regular+aide",NA,NA,"non-free","urban","bachelor","level1",14,"cauc",6,9,"214"
"male","cauc",1978.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"215"
"female","afam",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"216"
"female","afam",1980.5,"kindergarten","small",433,468,"free","suburban","bachelor","level2",13,"cauc",11,24,"217"
"female","cauc",1979.75,"kindergarten","small",440,559,"non-free","urban","master","level1",17,"cauc",20,48,"218"
"male","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"219"
"male","cauc",1979.5,"kindergarten","regular",461,559,"non-free","rural","bachelor","level1",20,"cauc",31,64,"220"
"female","afam",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"221"
"female","afam",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"222"
"male","afam",1979.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"223"
"male","afam",1979,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"224"
"female","cauc",1980,"kindergarten","regular+aide",413,459,"non-free","suburban","bachelor","level1",17,"cauc",18,43,"225"
"female","cauc",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"226"
"male","afam",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"227"
"male","cauc",1980.25,"kindergarten","small",445,559,"free","rural","bachelor","level1",4,"cauc",10,13,"228"
"male","cauc",1979.75,"kindergarten","regular+aide",507,536,"non-free","suburban","bachelor","apprentice",3,"cauc",18,42,"229"
"female","cauc",1980.5,"kindergarten","small",490,576,"non-free","rural","bachelor","level1",15,"cauc",32,66,"230"
"male","afam",1979.75,"kindergarten","regular+aide",NA,454,"non-free","suburban","bachelor","apprentice",3,"cauc",18,42,"231"
"female","cauc",1980.25,"kindergarten","regular",451,536,"non-free","rural","master","level1",6,"cauc",10,13,"232"
"female","cauc",1980.25,"kindergarten","regular",474,536,"non-free","rural","master","level1",10,"cauc",1,1,"233"
"male","afam",1980.25,"kindergarten","regular+aide",414,429,"free","inner-city","master","level1",22,"cauc",11,33,"234"
"female","afam",1979.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"235"
"female","afam",1979,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"236"
"male","cauc",1979.5,"kindergarten","small",400,423,"non-free","rural","bachelor","level1",4,"cauc",5,7,"237"
"female","cauc",1980,"kindergarten","regular",468,489,"non-free","rural","bachelor","level1",16,"cauc",35,69,"238"
"male","cauc",1980.5,"kindergarten","regular",386,399,"non-free","rural","bachelor","level1",8,"cauc",4,5,"239"
"male","afam",1980,"kindergarten","regular",424,478,"free","inner-city","bachelor","level1",6,"afam",11,19,"240"
"female","cauc",1980.25,"kindergarten","regular+aide",430,473,"free","rural","master","level1",8,"cauc",24,57,"241"
"male","cauc",1979.5,"kindergarten","regular+aide",NA,NA,"free","rural","bachelor","level1",3,"cauc",5,7,"242"
"male","afam",1978,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"243"
"female","cauc",1980,"kindergarten","regular",453,520,"free","rural","master","level1",15,"cauc",5,7,"244"
"male","afam",1980.5,"kindergarten","regular",456,528,"non-free","inner-city","bachelor","level1",10,"afam",11,30,"245"
"male","afam",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"246"
"male","afam",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"247"
"male","cauc",1979.75,"kindergarten","small",451,576,"non-free","rural","bachelor","level1",15,"cauc",31,65,"248"
"female","cauc",1979.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"249"
"female","cauc",1980.25,"kindergarten","small",440,484,"non-free","rural","master","level1",8,"cauc",24,57,"250"
